Age,Sex,Job,Housing,Savings account,Checking account,Credit amount,Duration,Purpose,description,target
33,female,3,own,little,rich,1474,12,furniture/equipment,"""""""

        This 33-year-old female customer is a highly skilled professional who owns her residence. She has a modest savings account but a substantial current account, and is seeking a €1,474 loan to be repaid over 12 months, which she intends to use for purchasing furniture and equipment.",good risk
25,male,1,own,little,moderate,4746,45,radio/TV,"""""""

        The customer is a 25-year-old male who is an unskilled worker and a resident, owning his residence. He has a moderate current account and a small savings account, and is seeking a loan of €4,746 to be repaid over 45 months, with the purpose of purchasing a radio or TV.",bad risk
31,male,2,free,little,unknown,6110,48,education,"""""""

        The customer is a 31-year-old male with a skilled occupation, who owns his residence free of mortgage. He has a limited savings account and no information is available regarding his checking account. He is seeking a €6,110 loan for educational purposes, to be repaid over a period of 48 months.",good risk
37,male,2,own,little,rich,2100,18,radio/TV,"""""""

        The customer is a 37-year-old male with a skilled occupation, who owns his residence. He has a modest savings account and a substantial current account, and is seeking a €2,100 loan for 18 months to purchase a radio or TV.",good risk
37,male,2,own,little,rich,1225,10,domestic appliances,"""""""

        This 37-year-old male customer, employed in a skilled profession, is a homeowner with a modest savings account and a substantial current account. He is seeking a €1,225 loan to finance the purchase of domestic appliances, with a repayment term of 10 months.",good risk
24,male,2,own,little,moderate,458,9,radio/TV,"""""""

    This 24-year-old male customer is a skilled worker who owns his residence. He has a moderate current account balance and a relatively small savings account, and is seeking a €458 loan for a 9-month period to purchase a radio or TV.",good risk
30,male,3,own,quite rich,unknown,2333,30,radio/TV,"""""""

        This 30-year-old male customer is a highly skilled worker who owns his residence. He has a substantial savings account, although there is no information available about his checking account. He is seeking a €2,333 loan to be repaid over 30 months, which he intends to use for purchasing a radio or TV.",good risk
26,male,2,own,quite rich,moderate,1158,12,radio/TV,"""""""

        This 26-year-old male customer is a skilled worker who owns his residence. He has a substantial savings account and a moderate current account, and is seeking a €1,158 loan for 12 months to purchase a radio or TV.",good risk
44,male,1,own,little,moderate,6204,18,repairs,"""""""

        The customer is a 44-year-old male, residing in his own home, and working in an unskilled capacity. He has a moderate current account and a small savings account, and is seeking a €6,204 loan for 18 months to fund home repairs.",good risk
24,male,2,rent,moderate,little,6187,30,car,"""""""

        This 24-year-old male customer is a skilled worker who rents his residence. He has a moderate savings account and a small current account, and is seeking a €6,187 loan to purchase a car, which he intends to repay over 30 months.",good risk
58,female,1,free,little,little,6143,48,car,"""""""

description = ""This 58-year-old female customer is an unskilled worker and resident, owning her residence free of mortgage. She has limited savings and current accounts, and is seeking a €6,143 loan to purchase a car, which she intends to repay over 48 months.""",bad risk
35,female,3,own,little,unknown,1393,11,car,"""""""

        This 35-year-old female customer is a highly skilled worker who owns her residence. She has a limited savings account and has requested a €1,393 loan for 11 months to finance a car purchase, although no information is available regarding her checking account.",good risk
39,male,2,own,quite rich,unknown,2299,36,radio/TV,"""""""

        The customer is a 39-year-old male with a skilled occupation, who owns his residence. He has a substantial savings account, although there is no information available about his checking account. He is seeking a €2,299 loan to be repaid over 36 months, which he intends to use for purchasing a radio or TV.",good risk
23,female,0,rent,quite rich,little,1352,6,car,"""""""

        The customer is a 23-year-old female who works in an unskilled and non-resident capacity. She rents her accommodation and has a significant amount of savings, although her current account balance is relatively low. She is seeking a €1,352 loan to purchase a car, which she intends to repay over a period of 6 months.",bad risk
39,male,1,own,little,unknown,7228,11,car,"""""""

The customer is a 39-year-old male who is an unskilled worker and a resident, owning his home. He has a limited savings account and has requested a €7,228 loan for 11 months to purchase a car, although no information is available about his checking account.",bad risk
28,female,2,own,moderate,unknown,2073,12,radio/TV,"""""""

customer_description = ""This 28-year-old female customer, employed in a skilled profession, owns her residence and maintains a moderate savings account. She has requested a €2,073 loan for a 12-month period to finance a radio/TV purchase, although no information is available regarding her checking account.""",good risk
29,male,1,own,unknown,moderate,2333,24,furniture/equipment,"""""""

        The customer is a 29-year-old male, employed in an unskilled capacity and residing locally, who owns his home. He has a moderate current account and is seeking a loan of €2,333 to be repaid over 24 months, specifically for the purpose of purchasing furniture and equipment; however, no information is available regarding his savings account.",bad risk
30,male,3,own,little,moderate,5965,27,car,"""""""

        This 30-year-old male customer is a highly skilled worker who owns his residence. He has a moderate current account and a small savings account, and is seeking a €5,965 loan to purchase a car, which he intends to repay over 27 months.",good risk
25,male,2,own,little,unknown,1262,12,radio/TV,"""""""

        The customer is a 25-year-old male with a skilled occupation, who owns his residence. He has a limited savings account and has requested a €1,262 loan for a 12-month period to purchase a radio or TV, although no information is available regarding his checking account.",good risk
31,male,2,own,unknown,unknown,3378,18,car,"""""""

        The customer is a 31-year-old male with a skilled occupation, who owns his residence. He has requested a loan of €3,378 to finance a car purchase, with a repayment term of 18 months. No information is available regarding his savings or checking account history.",good risk
57,male,2,free,little,moderate,2225,36,car,"""""""

customer_description = ""The customer is a 57-year-old male with a skilled occupation, who owns his residence outright. He has a moderate current account balance and a small savings account, and is seeking a €2,225 loan to finance a car purchase, which he intends to repay over 36 months.""",good risk
26,male,1,own,unknown,unknown,783,6,car,"""""""

customer_description = ""The customer is a 26-year-old male, employed in an unskilled and resident capacity, who owns his residence. He has requested a €783 loan for a 6-month term to finance a car purchase, although no information is available regarding his savings or checking account history.""",bad risk
52,male,3,own,unknown,moderate,6468,12,radio/TV,"""""""

        This 52-year-old male customer is a highly skilled worker who owns his residence. He has a moderate current account, but no information is available about his savings account; he is seeking a €6,468 loan for 12 months to purchase a radio/TV.",good risk
31,female,2,own,little,unknown,9566,36,radio/TV,"""""""

        This 31-year-old female customer, classified as skilled in her profession, is a homeowner. She has a limited savings account and has requested a €9,566 loan to finance a radio/TV purchase, which she intends to repay over 36 months; however, no information is available regarding her checking account.",good risk
23,female,3,own,little,rich,1961,18,car,"""""""

customer_description = ""This 23-year-old female customer is a highly skilled worker who owns her residence. She has a savings account with a relatively small balance, but a rich current account, and is seeking a €1,961 loan to purchase a car, which she intends to repay over 18 months.""",good risk
23,female,1,rent,little,little,6229,36,furniture/equipment,"""""""

    This 23-year-old female customer is an unskilled worker and resident, currently renting her accommodation. She has limited savings and checking accounts, and is seeking a €6,229 loan to purchase furniture and equipment, with a repayment term of 36 months.",bad risk
27,male,2,own,little,moderate,1391,9,business,"""""""

        This 27-year-old male customer is a skilled worker who owns his residence. He has a moderate current account balance and a relatively small savings account, and is seeking a €1,391 loan for business purposes, to be repaid over a 9-month period.",good risk
50,male,2,own,unknown,moderate,1537,15,radio/TV,"""""""

        The customer is a 50-year-old male with a skilled occupation, who owns his residence. He has a moderate current account and has requested a loan of €1,537 to be repaid over 15 months, with the purpose of purchasing a radio or TV; however, no information is available regarding his savings account.",good risk
61,male,3,free,little,moderate,1953,36,business,"""""""

        The customer is a 61-year-old male with a highly skilled occupation, who owns his residence outright. He has a moderate current account balance and a relatively small savings account, and is seeking a €1,953 loan for business purposes, to be repaid over 36 months.",good risk
25,male,2,own,little,moderate,14421,48,business,"""""""

        This 25-year-old male customer is a skilled worker who owns his residence. He has a moderate current account and a small savings account, and is seeking a €14,421 loan for business purposes, to be repaid over 48 months.",good risk
26,female,2,own,little,unknown,3181,24,radio/TV,"""""""

customer_description = ""This 26-year-old female customer is a skilled worker and a homeowner. She has a limited savings account and has requested a €3,181 loan for 24 months to purchase a radio/TV, although no information is available about her checking account.""",good risk
48,male,2,own,unknown,unknown,5190,27,repairs,"""""""

        The customer is a 48-year-old male with a skilled occupation, who owns his residence. He has requested a loan of €5,190 to be repaid over 27 months, with the purpose of financing repairs. No information is available regarding his savings or checking account.",good risk
29,female,2,own,little,unknown,2171,12,radio/TV,"""""""

        This 29-year-old female customer is a skilled worker who owns her residence. She has a limited savings account and has requested a €2,171 loan for 12 months to purchase a radio or TV, although no information is available regarding her checking account.",good risk
22,male,2,own,rich,moderate,1007,12,car,"""""""

customer_description = ""This 22-year-old male customer is a skilled worker who owns his residence. He has a rich savings account and a moderate current account, and is seeking a €1,007 loan to purchase a car, which he intends to repay over a 12-month period.""",good risk
37,male,2,free,little,unknown,1819,36,education,"""""""

        The customer is a 37-year-old male with a skilled occupation, who owns his residence free of mortgage. He has a limited savings account and no information is available regarding his checking account. He is requesting a €1,819 loan for educational purposes, to be repaid over a 36-month period.",good risk
25,female,2,own,unknown,unknown,2394,36,radio/TV,"""""""

        This 25-year-old female customer is a skilled worker who owns her residence. She has requested a €2,394 loan to be repaid over 36 months, with the purpose of purchasing a radio or TV, although no information is available regarding her savings or checking account history.",good risk
30,female,2,own,little,unknown,8133,36,car,"""""""

        This 30-year-old female customer, classified as skilled, is a homeowner with limited savings. She has requested a €8,133 loan to finance a car purchase, with a repayment term of 36 months, although no information is available regarding her checking account.",good risk
46,male,1,rent,unknown,unknown,730,7,radio/TV,"""""""

        This 46-year-old male customer is an unskilled worker and resident, currently renting his place of residence. He has requested a loan of €730 for a period of 7 months, with the purpose of purchasing a radio or TV, although no information is available regarding his savings or checking account history.",bad risk
51,male,3,free,little,little,1164,8,vacation/others,"""""""

description = ""The customer is a 51-year-old male with a highly skilled occupation. He owns his residence outright and has limited savings and checking accounts. He is seeking a €1,164 loan for a vacation or other purposes, to be repaid over an 8-month period.""",good risk
41,female,1,own,little,moderate,5954,42,business,"""""""

customer_description = ""This 41-year-old female customer is an unskilled worker residing in her own home. She has a moderate current account and a small savings account, and is seeking a €5,954 loan for business purposes, to be repaid over 42 months.""",bad risk
40,male,3,own,unknown,little,1977,36,education,"""""""

customer_description = ""The customer is a 40-year-old male with a highly skilled occupation, who owns his residence. He has a current account with a relatively low balance, but no information is available about his savings account. He is seeking a €1,977 loan for educational purposes, to be repaid over a 36-month period.""",good risk
66,male,3,free,little,little,1526,12,car,"""""""

description = ""The customer is a 66-year-old male with a highly skilled occupation, who owns his residence outright. He has limited savings and current accounts, and is seeking a €1,526 loan for 12 months to finance a car purchase.""",good risk
34,male,2,own,little,little,3965,42,radio/TV,"""""""

customer_description = ""The customer is a 34-year-old male with a skilled occupation, who owns his residence. He has limited savings and current accounts, and is seeking a €3,965 loan for a radio/TV purchase, to be repaid over 42 months.""",good risk
51,male,2,own,little,moderate,4771,11,radio/TV,"""""""

        This 51-year-old male customer is a skilled worker who owns his residence. He has a moderate current account and a small savings account, and is seeking a €4,771 loan for 11 months to purchase a radio or TV.",good risk
39,male,1,own,unknown,unknown,9436,54,car,"""""""

        This 39-year-old male customer is an unskilled worker and resident, who owns his home. He has requested a loan of €9,436 to finance a car purchase, with a repayment period of 54 months; however, no information is available regarding his savings or checking account history.",bad risk
22,male,2,own,little,moderate,3832,30,furniture/equipment,"""""""

        This 22-year-old male customer is a skilled worker who owns his residence. He has a moderate current account and a small savings account, and is seeking a €3,832 loan to be repaid over 30 months to finance furniture and equipment purchases.",good risk
44,female,2,own,unknown,unknown,5943,24,radio/TV,"""""""

description = ""The customer is a 44-year-old female with a skilled occupation, who owns her residence. She has requested a loan of €5,943 to be repaid over 24 months, with the purpose of purchasing a radio or TV, although no information is available regarding her savings or checking account history.""",good risk
47,male,2,own,quite rich,unknown,1213,15,radio/TV,"""""""

        This 47-year-old male customer is a skilled worker who owns his residence. He has a substantial savings account, although there is no information available about his checking account. He is seeking a €1,213 loan for 15 months to purchase a radio or TV.",good risk
24,female,1,rent,moderate,unknown,1568,18,business,"""""""

        This 24-year-old female customer is an unskilled worker residing in a rented accommodation. She has a moderate savings account and is seeking a €1,568 loan for business purposes, to be repaid over 18 months; however, no information is available regarding her checking account.",bad risk
58,female,1,own,little,little,1755,24,vacation/others,"""""""

description = ""This 58-year-old female customer is an unskilled worker and resident, who owns her home. She has limited savings and current accounts, and is seeking a €1,755 loan for 24 months to fund a vacation or other personal expenses.""",bad risk
52,male,1,own,little,little,2315,10,radio/TV,"""""""

        The customer is a 52-year-old male who is an unskilled worker and resident. He owns his home and has limited savings and checking accounts. He is seeking a €2,315 loan for 10 months to purchase a radio or TV.",bad risk
29,female,3,own,little,unknown,1412,12,business,"""""""

        This 29-year-old female customer is a highly skilled professional who owns her residence. She has a limited savings account and has requested a €1,412 loan for business purposes, to be repaid over a 12-month period; however, there is no information available regarding her checking account.",good risk
27,female,2,own,little,moderate,1295,18,furniture/equipment,"""""""

customer_description = ""This 27-year-old female customer is a skilled worker who owns her residence. She has a moderate current account and a small savings account, and is seeking a €1,295 loan for 18 months to purchase furniture and equipment.""",good risk
47,male,2,free,moderate,moderate,12612,36,education,"""""""

customer_description = ""This 47-year-old male customer, classified as skilled, owns his residence and has moderate savings and current accounts. He is seeking a €12,612 loan for educational purposes, to be repaid over 36 months.""",good risk
30,male,3,own,moderate,little,2249,18,car,"""""""

description = ""This 30-year-old male customer, classified as highly skilled, is a homeowner with a moderate savings account and a limited current account. He is seeking a €2,249 loan for 18 months to finance a car purchase.""

# Output: This 30-year-old male customer, classified as highly skilled, is a homeowner with a moderate savings account and a limited current account. He is seeking a €2,249 loan for 18 months to finance a car purchase.",good risk
28,male,2,own,little,little,1108,12,repairs,"""""""

description = ""This 28-year-old male customer, employed in a skilled profession, is a homeowner with limited savings and checking accounts. He is seeking a €1,108 loan for 12 months to cover repairs, indicating a need for short-term financing to address a specific expense.""",good risk
56,male,2,own,little,unknown,618,12,radio/TV,"""""""

        The customer is a 56-year-old male with a skilled occupation, who owns his residence. He has a limited savings account and has requested a €618 loan for 12 months to purchase a radio or TV, although no information is available about his checking account.",good risk
54,male,2,own,little,little,1409,12,car,"""""""

customer_description = ""The customer is a 54-year-old male with a skilled occupation, who owns his residence. He has limited savings and current accounts, and is seeking a €1,409 loan for 12 months to purchase a car.""",good risk
33,female,1,own,unknown,unknown,797,12,radio/TV,"""""""

customer_description = ""The customer is a 33-year-old female resident who works in an unskilled profession and owns her home. She has requested a loan of €797 to be repaid over 12 months, with the purpose of purchasing a radio or TV. No information is available regarding her savings or checking account history.""",bad risk
20,male,2,rent,unknown,rich,3617,24,furniture/equipment,"""""""

        The customer is a 20-year-old male with a skilled occupation, currently renting a residence. He has a rich current account, although no information is available regarding his savings account, and is seeking a €3,617 loan to be repaid over 24 months to finance furniture and equipment purchases.",bad risk
54,male,2,own,rich,moderate,1318,12,car,"""""""

customer_description = ""The customer is a 54-year-old male with a skilled occupation, who owns his residence. He has a rich savings account and a moderate current account, and is seeking a €1,318 loan to purchase a car, which he intends to repay over a 12-month period.""",good risk
58,male,2,rent,little,moderate,15945,54,business,"""""""

        This 58-year-old male customer is a skilled worker who rents his residence. He has a moderate current account and a small savings account, and is seeking a €15,945 loan for business purposes, which he intends to repay over 54 months.",bad risk
61,female,2,own,unknown,unknown,2012,12,education,"""""""

        This 61-year-old female customer, employed in a skilled profession, is a homeowner. She has requested a €2,012 loan for educational purposes, to be repaid over a 12-month period. No information is available regarding her savings or checking account history.",good risk
34,male,2,own,moderate,moderate,2622,18,business,"""""""

customer_description = ""This 34-year-old male customer is a skilled worker who owns his residence. He has moderate savings and current accounts, and is seeking a €2,622 loan for business purposes, to be repaid over 18 months.""",good risk
36,male,2,own,little,moderate,2337,36,radio/TV,"""""""

customer_description = ""This 36-year-old male customer, classified as skilled in his profession, is a homeowner with a moderate current account balance and limited savings. He is seeking a €2,337 loan to be repaid over 36 months, specifically to purchase a radio or TV.""",good risk
36,male,3,rent,unknown,moderate,7057,20,car,"""""""

description = ""This 36-year-old male customer, classified as highly skilled, rents his residence. He has a moderate current account, but no information is available about his savings account. He is seeking a €7,057 loan to finance a car purchase, which he intends to repay over a 20-month period.""",good risk
41,male,1,rent,moderate,unknown,1469,24,car,"""""""

        The customer is a 41-year-old male who works in an unskilled capacity and resides in the area. He rents his home and has a moderate savings account, although there is no information available regarding his checking account. He is seeking a €1,469 loan to purchase a car, which he intends to repay over a 24-month period.",bad risk
24,male,2,rent,little,moderate,2323,36,radio/TV,"""""""

        This 24-year-old male customer, classified as skilled, currently rents his residence. He has a moderate current account and a small savings account, and is seeking a €2,323 loan for 36 months to finance a radio/TV purchase.",bad risk
24,female,2,own,little,unknown,932,6,radio/TV,"""""""

customer_description = ""The customer is a 24-year-old female with a skilled occupation, who owns her residence. She has a limited savings account, but there is no information available regarding her checking account. She is requesting a €932 credit for a 6-month period to purchase a radio/TV.""",good risk
35,male,2,rent,little,moderate,1919,9,furniture/equipment,"""""""

        This 35-year-old male customer, employed in a skilled profession, currently rents his residence. He has a moderate current account balance and a relatively small savings account, and is seeking a €1,919 loan to be repaid over 9 months, specifically to finance furniture or equipment purchases.",good risk
26,male,2,rent,unknown,unknown,2445,12,car,"""""""

        The customer is a 26-year-old male with a skilled occupation, currently renting his residence. He has requested a €2,445 loan to finance a car purchase, with a repayment term of 12 months; however, no information is available regarding his savings or checking account history.",good risk
39,male,3,own,little,moderate,11938,24,vacation/others,"""""""

        This 39-year-old male customer, classified as highly skilled, owns his residence. He has a moderate current account and a small savings account. He is seeking a €11,938 loan, repayable over 24 months, for the purpose of a vacation or other personal expenses.",good risk
39,male,3,own,little,unknown,6458,18,car,"""""""

        This 39-year-old male customer, classified as highly skilled, is a homeowner with a limited savings account. He has requested a €6,458 loan to finance a car purchase, with a repayment term of 18 months, although no information is available regarding his checking account.",good risk
32,male,2,own,little,moderate,6078,12,car,"""""""

        This 32-year-old male customer is a skilled worker who owns his residence. He has a moderate current account and a small savings account, and is seeking a €6,078 loan to purchase a car, which he intends to repay over a 12-month period.",good risk
30,female,2,own,unknown,little,7721,24,furniture/equipment,"""""""

        This 30-year-old female customer is a skilled worker who owns her residence. She has a limited current account balance, but no information is available about her savings account; she is seeking a €7,721 loan to purchase furniture and equipment, which she intends to repay over 24 months.",good risk
35,male,2,own,quite rich,moderate,1410,14,business,"""""""

customer_description = ""The customer is a 35-year-old male with a skilled occupation, who owns his residence. He has a quite rich savings account and a moderate current account, and is seeking a €1,410 loan for business purposes, to be repaid over 14 months.""",good risk
31,male,2,own,moderate,moderate,1449,6,business,"""""""

        This 31-year-old male customer, employed in a skilled profession, is a homeowner with moderate savings and current accounts. He is seeking a €1,449 business loan with a repayment term of 6 months.",good risk
23,female,2,rent,little,rich,392,15,education,"""""""

        This 23-year-old female customer is a skilled worker who rents her accommodation. She has a limited savings account but a substantial current account, and is seeking a €392 loan for educational purposes, which she intends to repay over 15 months.",bad risk
28,male,1,rent,little,moderate,6260,18,car,"""""""

        This 28-year-old male customer is an unskilled worker residing in a rented accommodation. He has a moderate current account and a small savings account, and is seeking a €6,260 loan to purchase a car, which he intends to repay over 18 months.",bad risk
25,female,2,own,little,unknown,7855,36,car,"""""""

        This 25-year-old female customer, classified as skilled, is a homeowner with limited savings. She has requested a €7,855 loan to finance a car purchase, with a repayment term of 36 months, although no information is available regarding her checking account.",good risk
35,male,2,own,quite rich,little,1680,12,radio/TV,"""""""

        This 35-year-old male customer is a skilled worker who owns his residence. He has a significant amount of savings, but his current account balance is relatively low. He is requesting a €1,680 loan to be repaid over 12 months, which he intends to use for purchasing a radio or TV.",good risk
47,male,2,own,unknown,unknown,3578,48,radio/TV,"""""""

    This 47-year-old male customer, classified as skilled, is a homeowner. He has requested a loan of €3,578 to be repaid over 48 months, with the purpose of purchasing a radio or TV. No information is available regarding his savings or checking account.",good risk
30,female,3,own,unknown,little,7174,42,radio/TV,"""""""

        This 30-year-old female customer, classified as highly skilled, is a homeowner. She has requested a €7,174 loan for a radio/TV purchase, to be repaid over 42 months, and has a current account with a small balance, although no information is available regarding her savings account.",good risk
27,female,2,rent,unknown,little,2132,10,furniture/equipment,"""""""

customer_description = ""The customer is a 27-year-old female with a skilled occupation, who currently rents her accommodation. She has a limited current account balance, and no information is available regarding her savings account; she is seeking a €2,132 credit over 10 months to finance furniture and equipment purchases.""",good risk
23,female,2,own,quite rich,little,4281,33,furniture/equipment,"""""""

        This 23-year-old female customer is a skilled worker who owns her residence. She has a substantial savings account, but her current account balance is relatively low, and she is seeking a €4,281 loan to be repaid over 33 months, specifically to purchase furniture or equipment.",good risk
